媒体文件名称,创建时间,更新时间,过期时间,媒体文件分类ID,媒体文件分类名称,媒体文件分类路径,封面图片地址,媒体文件来源,媒体文件存储地区,媒体文件标签,直播转录制文件（VID）,视频地址（原始）,视频地址（标清）,视频地址（高清）,视频地址（全高清）,视频地址（2K）,视频地址（4K）,文件ID,文件大小,时长
"	17_烘干机声音.mp3",2026-05-28 16:40:11,2026-05-28 16:40:14,253402300799,0,其他,其他,,上传,cq,,"	5145403728278333049",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1b5761435145403728278333049/EIGx7lQOgYsA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1b5761435145403728278333049/EIGx7lQOgYsA.mp3,,,,,"	5145403728278333049","	2881036","	180"
"	16_洗衣机声音.mp3",2026-05-28 16:40:09,2026-05-28 16:40:12,253402300799,0,其他,其他,,上传,cq,,"	5145403728276136365",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/7cba48a35145403728276136365/kKQHPloCLNAA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/7cba48a35145403728276136365/kKQHPloCLNAA.mp3,,,,,"	5145403728276136365","	2881036","	180"
"	15_火车行驶声.mp3",2026-05-28 16:40:04,2026-05-28 16:40:07,253402300799,0,其他,其他,,上传,cq,,"	5145403728275327305",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/3458d03e5145403728275327305/NHFz46dgzLIA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/3458d03e5145403728275327305/NHFz46dgzLIA.mp3,,,,,"	5145403728275327305","	2881036","	180"
"	14_汽车行驶声.mp3",2026-05-28 16:40:00,2026-05-28 16:40:04,253402300799,0,其他,其他,,上传,cq,,"	5145403728277644028",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d56f43045145403728277644028/YerkSJOLyHsA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d56f43045145403728277644028/YerkSJOLyHsA.mp3,,,,,"	5145403728277644028","	2881036","	180"
"	13_空调嗡鸣声.mp3",2026-05-28 16:39:58,2026-05-28 16:40:02,253402300799,0,其他,其他,,上传,cq,,"	5145403728275334255",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/346940005145403728275334255/FgpyyQ7ykNUA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/346940005145403728275334255/FgpyyQ7ykNUA.mp3,,,,,"	5145403728275334255","	2881036","	180"
"	12_风扇声音.mp3",2026-05-28 16:39:55,2026-05-28 16:39:59,253402300799,0,其他,其他,,上传,cq,,"	5145403728276839413",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8d100dc75145403728276839413/A4yvofLq7WEA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8d100dc75145403728276839413/A4yvofLq7WEA.mp3,,,,,"	5145403728276839413","	2881036","	180"
"	05_吹风机声音.mp3",2026-05-28 16:39:50,2026-05-28 16:39:55,253402300799,0,其他,其他,,上传,cq,,"	5145403728276559052",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8634b4655145403728276559052/KXtgrBJgAq0A.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8634b4655145403728276559052/KXtgrBJgAq0A.mp3,,,,,"	5145403728276559052","	2881036","	180"
"	04_吸尘器声音.mp3",2026-05-28 16:39:46,2026-05-28 16:39:49,253402300799,0,其他,其他,,上传,cq,,"	5145403728276564644",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/864428685145403728276564644/wqA7SEovCiQA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/864428685145403728276564644/wqA7SEovCiQA.mp3,,,,,"	5145403728276564644","	2881036","	180"
"	03_棕色噪音.mp3",2026-05-28 16:39:43,2026-05-28 16:39:46,253402300799,0,其他,其他,,上传,cq,,"	5001834805357516947",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/ace342a65001834805357516947/Q5SPpW1h5cwA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/ace342a65001834805357516947/Q5SPpW1h5cwA.mp3,,,,,"	5001834805357516947","	2881036","	180"
"	02_粉红噪音.mp3",2026-05-28 16:39:40,2026-05-28 16:39:44,253402300799,0,其他,其他,,上传,cq,,"	5145403728275332919",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/346844855145403728275332919/0OPaYkiRypoA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/346844855145403728275332919/0OPaYkiRypoA.mp3,,,,,"	5145403728275332919","	2881036","	180"
"	01_纯白噪音.mp3",2026-05-28 16:39:38,2026-05-28 16:39:41,253402300799,0,其他,其他,,上传,cq,,"	5145403728278466171",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1de47d265145403728278466171/ZmmlRSdy2JwA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1de47d265145403728278466171/ZmmlRSdy2JwA.mp3,,,,,"	5145403728278466171","	2881036","	180"
"	50_混合_雨声加风扇.mp3",2026-05-28 16:38:45,2026-05-28 16:38:50,253402300799,0,其他,其他,,上传,cq,,"	5145403728276540679",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/861dc64a5145403728276540679/LZjeUA8llykA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/861dc64a5145403728276540679/LZjeUA8llykA.mp3,,,,,"	5145403728276540679","	2881036","	180"
"	48_频率扫动白噪音.mp3",2026-05-28 16:38:41,2026-05-28 16:38:47,253402300799,0,其他,其他,,上传,cq,,"	5145403728274974546",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/f5b665ac5145403728274974546/lWKAYtRkSvgA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/f5b665ac5145403728274974546/lWKAYtRkSvgA.mp3,,,,,"	5145403728274974546","	2881036","	180"
"	47_深沉棕色噪音.mp3",2026-05-28 16:38:38,2026-05-28 16:38:44,253402300799,0,其他,其他,,上传,cq,,"	5001834805354289941",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/bf7563245001834805354289941/f1aSHea42IMA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/bf7563245001834805354289941/f1aSHea42IMA.mp3,,,,,"	5001834805354289941","	2881036","	180"
"	33_灰噪音_听觉平衡.mp3",2026-05-28 16:38:36,2026-05-28 16:38:42,253402300799,0,其他,其他,,上传,cq,,"	5145403728276420318",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/83a45f1d5145403728276420318/N73UZGcpb0MA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/83a45f1d5145403728276420318/N73UZGcpb0MA.mp3,,,,,"	5145403728276420318","	2881036","	180"
"	32_紫噪音.mp3",2026-05-28 16:38:32,2026-05-28 16:38:40,253402300799,0,其他,其他,,上传,cq,,"	5145403728277137913",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/c9b52aa45145403728277137913/QLaXm9xHirYA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/c9b52aa45145403728277137913/QLaXm9xHirYA.mp3,,,,,"	5145403728277137913","	2881036","	180"
"	31_蓝噪音.mp3",2026-05-28 16:38:26,2026-05-28 16:38:29,253402300799,0,其他,其他,,上传,cq,,"	5145403728277978127",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dca73c2e5145403728277978127/uoNTNxA15SgA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dca73c2e5145403728277978127/uoNTNxA15SgA.mp3,,,,,"	5145403728277978127","	2881036","	180"
"	30_电视雪花白噪音.mp3",2026-05-28 16:38:23,2026-05-28 16:38:27,253402300799,0,其他,其他,,上传,cq,,"	5145403728277764171",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d7e8a1865145403728277764171/NDgtOzsD1wEA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d7e8a1865145403728277764171/NDgtOzsD1wEA.mp3,,,,,"	5145403728277764171","	2881036","	180"
"	02_粉红噪音.mp3",2026-05-28 16:38:20,2026-05-28 16:38:23,253402300799,0,其他,其他,,上传,cq,,"	5145403728275551600",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/39362d7b5145403728275551600/rz2KGdwsn4EA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/39362d7b5145403728275551600/rz2KGdwsn4EA.mp3,,,,,"	5145403728275551600","	2881036","	180"
"	29_飞机机舱白噪音.mp3",2026-05-28 16:38:17,2026-05-28 16:38:21,253402300799,0,其他,其他,,上传,cq,,"	5145403728277977127",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dca6afcd5145403728277977127/DKLywXaGAqMA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dca6afcd5145403728277977127/DKLywXaGAqMA.mp3,,,,,"	5145403728277977127","	2881036","	180"
"	42_竖琴摇篮曲.mp3",2026-05-28 16:41:48,2026-05-28 16:41:51,253402300799,0,其他,其他,,上传,cq,,"	5145403728276545063",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/86206a825145403728276545063/Z2j31tzgNz0A.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/86206a825145403728276545063/Z2j31tzgNz0A.mp3,,,,,"	5145403728276545063","	2881036","	180"
"	41_风铃声.mp3",2026-05-28 16:41:45,2026-05-28 16:41:50,253402300799,0,其他,其他,,上传,cq,,"	5001834805355376057",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/0eb0e4c05001834805355376057/hxZ1CwzlYjAA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/0eb0e4c05001834805355376057/hxZ1CwzlYjAA.mp3,,,,,"	5001834805355376057","	2881036","	180"
"	40_颂钵冥想.mp3",2026-05-28 16:41:39,2026-05-28 16:41:43,253402300799,0,其他,其他,,上传,cq,,"	5145403728275494925",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/372b190b5145403728275494925/1Z9dOqBqe5QA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/372b190b5145403728275494925/1Z9dOqBqe5QA.mp3,,,,,"	5145403728275494925","	2881036","	180"
"	39_太空环境音.mp3",2026-05-28 16:41:34,2026-05-28 16:41:37,253402300799,0,其他,其他,,上传,cq,,"	5145403728276884095",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8d67ba6d5145403728276884095/y953mHrMcuYA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8d67ba6d5145403728276884095/y953mHrMcuYA.mp3,,,,,"	5145403728276884095","	2881036","	180"
"	38_妈妈呼吸声.mp3",2026-05-28 16:41:30,2026-05-28 16:41:33,253402300799,0,其他,其他,,上传,cq,,"	5145403728278593171",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/206e4a275145403728278593171/UCrpbNeXpN0A.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/206e4a275145403728278593171/UCrpbNeXpN0A.mp3,,,,,"	5145403728278593171","	2881036","	180"
"	37_纯心跳声.mp3",2026-05-28 16:41:27,2026-05-28 16:41:30,253402300799,0,其他,其他,,上传,cq,,"	5145403728277006469",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/c72917855145403728277006469/AnZINklhJXkA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/c72917855145403728277006469/AnZINklhJXkA.mp3,,,,,"	5145403728277006469","	2881036","	180"
"	26_钢琴摇篮曲.mp3",2026-05-28 16:41:23,2026-05-28 16:41:28,253402300799,0,其他,其他,,上传,cq,,"	5145403728275494509",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/372b07c95145403728275494509/GEUAMMap1uMA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/372b07c95145403728275494509/GEUAMMap1uMA.mp3,,,,,"	5145403728275494509","	2881036","	180"
"	25_八音盒摇篮曲.mp3",2026-05-28 16:41:20,2026-05-28 16:41:24,253402300799,0,其他,其他,,上传,cq,,"	5145403728277237345",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/cc0a3a245145403728277237345/57qL3qxdHPoA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/cc0a3a245145403728277237345/57qL3qxdHPoA.mp3,,,,,"	5145403728277237345","	2881036","	180"
"	24_时钟滴答声.mp3",2026-05-28 16:41:15,2026-05-28 16:41:19,253402300799,0,其他,其他,,上传,cq,,"	5145403728277336676",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/ce5ee38b5145403728277336676/TtckD1q1mDoA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/ce5ee38b5145403728277336676/TtckD1q1mDoA.mp3,,,,,"	5145403728277336676","	2881036","	180"
"	23_猫咪呼噜声.mp3",2026-05-28 16:41:11,2026-05-28 16:41:15,253402300799,0,其他,其他,,上传,cq,,"	5145403728277946094",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dc6fd68c5145403728277946094/Ea3iDvUAfrUA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dc6fd68c5145403728277946094/Ea3iDvUAfrUA.mp3,,,,,"	5145403728277946094","	2881036","	180"
"	11_嘘嘘哄睡声.mp3",2026-05-28 16:41:07,2026-05-28 16:41:11,253402300799,0,其他,其他,,上传,cq,,"	5145403728276544247",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/861fe6655145403728276544247/Ld9umEIPqAwA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/861fe6655145403728276544247/Ld9umEIPqAwA.mp3,,,,,"	5145403728276544247","	2881036","	180"
"	06_子宫声音_心跳.mp3",2026-05-28 16:41:04,2026-05-28 16:41:07,253402300799,0,其他,其他,,上传,cq,,"	5145403728275891937",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/407e168f5145403728275891937/AoUwkvWnS2EA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/407e168f5145403728275891937/AoUwkvWnS2EA.mp3,,,,,"	5145403728275891937","	2881036","	180"
"	50_混合_雨声加风扇.mp3",2026-05-28 16:41:00,2026-05-28 16:41:03,253402300799,0,其他,其他,,上传,cq,,"	5145403728277652892",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d58065ac5145403728277652892/i4iz38v78cgA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d58065ac5145403728277652892/i4iz38v78cgA.mp3,,,,,"	5145403728277652892","	2881036","	180"
"	48_频率扫动白噪音.mp3",2026-05-28 16:40:56,2026-05-28 16:41:00,253402300799,0,其他,其他,,上传,cq,,"	5145403728275890373",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/407d71285145403728275890373/pfbMtIDR2qEA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/407d71285145403728275890373/pfbMtIDR2qEA.mp3,,,,,"	5145403728275890373","	2881036","	180"
"	47_深沉棕色噪音.mp3",2026-05-28 16:40:53,2026-05-28 16:40:57,253402300799,0,其他,其他,,上传,cq,,"	5145403728276423662",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/83a611a25145403728276423662/I9aBJ11bRGYA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/83a611a25145403728276423662/I9aBJ11bRGYA.mp3,,,,,"	5145403728276423662","	2881036","	180"
"	33_灰噪音_听觉平衡.mp3",2026-05-28 16:40:48,2026-05-28 16:40:52,253402300799,0,其他,其他,,上传,cq,,"	5145403728278595045",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/206f5e495145403728278595045/sr2ITQ6FcyUA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/206f5e495145403728278595045/sr2ITQ6FcyUA.mp3,,,,,"	5145403728278595045","	2881036","	180"
"	32_紫噪音.mp3",2026-05-28 16:40:43,2026-05-28 16:40:46,253402300799,0,其他,其他,,上传,cq,,"	5145403728279321446",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/683e7dc25145403728279321446/3BJn53nMr9IA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/683e7dc25145403728279321446/3BJn53nMr9IA.mp3,,,,,"	5145403728279321446","	2881036","	180"
"	31_蓝噪音.mp3",2026-05-28 16:40:30,2026-05-28 16:40:33,253402300799,0,其他,其他,,上传,cq,,"	5145403728278013758",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1433d4455145403728278013758/WmthTtiPZjUA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1433d4455145403728278013758/WmthTtiPZjUA.mp3,,,,,"	5145403728278013758","	2881036","	180"
"	30_电视雪花白噪音.mp3",2026-05-28 16:40:18,2026-05-28 16:40:22,253402300799,0,其他,其他,,上传,cq,,"	5001834805356451464",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/5dd96c5d5001834805356451464/6KND32bGEaMA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/5dd96c5d5001834805356451464/6KND32bGEaMA.mp3,,,,,"	5001834805356451464","	2881036","	180"
"	29_飞机机舱白噪音.mp3",2026-05-28 16:40:14,2026-05-28 16:40:17,253402300799,0,其他,其他,,上传,cq,,"	5145403728278333129",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1b5765425145403728278333129/hCFbKlPg7o4A.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1b5765425145403728278333129/hCFbKlPg7o4A.mp3,,,,,"	5145403728278333129","	2881036","	180"
"	01_纯白噪音.mp3",2026-05-28 16:38:13,2026-05-28 16:38:16,253402300799,0,其他,其他,,上传,cq,,"	5145403728276978675",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8fad15555145403728276978675/lKOnpxTQ3ZsA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/8fad15555145403728276978675/lKOnpxTQ3ZsA.mp3,,,,,"	5145403728276978675","	2881036","	180"
"	17_烘干机声音.mp3",2026-05-28 16:38:09,2026-05-28 16:38:14,253402300799,0,其他,其他,,上传,cq,,"	5145403728277569443",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d3411a8b5145403728277569443/a4AyRjphtSIA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d3411a8b5145403728277569443/a4AyRjphtSIA.mp3,,,,,"	5145403728277569443","	2881036","	180"
"	16_洗衣机声音.mp3",2026-05-28 16:38:05,2026-05-28 16:38:09,253402300799,0,其他,其他,,上传,cq,,"	5145403728277979746",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dca7e2565145403728277979746/nMHFwcviTBwA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/dca7e2565145403728277979746/nMHFwcviTBwA.mp3,,,,,"	5145403728277979746","	2881036","	180"
"	15_火车行驶声.mp3",2026-05-28 16:38:02,2026-05-28 16:38:05,253402300799,0,其他,其他,,上传,cq,,"	5145403728277640862",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d56d34065145403728277640862/Siw9NVye7AcA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d56d34065145403728277640862/Siw9NVye7AcA.mp3,,,,,"	5145403728277640862","	2881036","	180"
"	14_汽车行驶声.mp3",2026-05-28 16:37:59,2026-05-28 16:38:03,253402300799,0,其他,其他,,上传,cq,,"	5145403728278333962",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1b5787c75145403728278333962/yyayQkDszhMA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/1b5787c75145403728278333962/yyayQkDszhMA.mp3,,,,,"	5145403728278333962","	2881036","	180"
"	13_空调嗡鸣声.mp3",2026-05-28 16:37:56,2026-05-28 16:38:00,253402300799,0,其他,其他,,上传,cq,,"	5145403728277351981",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/ce8063875145403728277351981/uJcqAoLGHBMA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/ce8063875145403728277351981/uJcqAoLGHBMA.mp3,,,,,"	5145403728277351981","	2881036","	180"
"	12_风扇声音.mp3",2026-05-28 16:37:54,2026-05-28 16:37:58,253402300799,0,其他,其他,,上传,cq,,"	5145403728279011419",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/612ceafe5145403728279011419/INsBSZ6AJLEA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/612ceafe5145403728279011419/INsBSZ6AJLEA.mp3,,,,,"	5145403728279011419","	2881036","	180"
"	05_吹风机声音.mp3",2026-05-28 16:37:53,2026-05-28 16:37:56,253402300799,0,其他,其他,,上传,cq,,"	5145403728275743431",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/3dcf76e05145403728275743431/sHfFuofNaA4A.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/3dcf76e05145403728275743431/sHfFuofNaA4A.mp3,,,,,"	5145403728275743431","	2881036","	180"
"	04_吸尘器声音.mp3",2026-05-28 16:37:50,2026-05-28 16:37:54,253402300799,0,其他,其他,,上传,cq,,"	5145403728274970251",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/f5b427815145403728274970251/2lO50M5IyE0A.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/f5b427815145403728274970251/2lO50M5IyE0A.mp3,,,,,"	5145403728274970251","	2881036","	180"
"	03_棕色噪音.mp3",2026-05-28 16:37:48,2026-05-28 16:37:51,253402300799,0,其他,其他,,上传,cq,,"	5145403728277641116",https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d56da1ff5145403728277641116/s52Oo5dJgewA.mp3,https://1385636285.vod-qcloud.com/74c8f6b1vodcq1385636285/d56da1ff5145403728277641116/s52Oo5dJgewA.mp3,,,,,"	5145403728277641116","	2881036","	180"
EOF
